ID,location_ID,longitude,latitude,name,subbasin,locations,language,label,event_id
494301276121731072,g-360630,31.249670000000002,30.06263,Cairo,1090161090,town:cairo;country:egypt,en,1,28
494327833263874048,g-5368361,-118.24368,34.05223,Los Angeles,7090684480,adm1:california;town:los angeles,id,1,1937
494463913853874176,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
494796534068674560,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
494829977268146176,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
495010606047821824,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
495017350790668289,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
495123711071387649,g-5289282,-111.84125,33.30616,Chandler,7090696070,town:chandler,en,0,1960
495525926722367488,g-1732891,101.25,3.35,Kuala Selangor,4090020890,town:kuala selangor,id,0,817
495805012929708033,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1847
497136108463865857,g-5588842,-112.46609,42.92075,Chubbuck,7090465930,town:chubbuck,en,0,1796
497139824780787712,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
497141925451792384,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
497161697371893760,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
497242468627124224,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
497474058641215489,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
497485019451883520,g-5103583,-74.41071,40.48816,Rutgers,7090528490,town:rutgers,en,0,1848
498526651912032258,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,0,1997
498546619508609024,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,1,1997
498600191088271361,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,1,1997
498638581536399361,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,1,1997
498641690949713920,g-4431410,-90.18481,32.298759999999994,Jackson,7090717400,town:jackson,en,1,1997
